rank,model,method,lr,init,momentum,cv_mse,cv_r2,diverged,mean_epochs
1,polynomial,sto,0.001,xavier,0.0,0.06505166596350653,0.8869920271486194,0.0,100.0
2,polynomial,sto,0.001,zeros,0.0,0.06529323046297499,0.8866381514882107,0.0,100.0
3,polynomial,sto,0.0001,zeros,0.9,0.06540034038999057,0.8864625217427566,0.0,100.0
4,polynomial,sto,0.0001,xavier,0.9,0.06570195642218227,0.8857429087870068,0.0,97.0
5,polynomial,mini,0.01,zeros,0.9,0.06704359597389001,0.8836088412700513,0.0,100.0
6,normal,sto,0.001,xavier,0.0,0.06932489515089438,0.8796253217191314,0.0,100.0
7,normal,sto,0.0001,xavier,0.9,0.06937849776764457,0.8795310195659635,0.0,100.0
8,normal,mini,0.01,xavier,0.9,0.0696073872892404,0.8791383951129591,0.0,96.2
9,normal,sto,0.0001,zeros,0.9,0.06965990446263723,0.8790791971570817,0.0,100.0
10,normal,sto,0.001,zeros,0.0,0.06968994949610263,0.8790220981018357,0.0,100.0
11,polynomial,mini,0.01,xavier,0.9,0.07000522578831343,0.8784490209132791,0.0,94.0
12,normal,mini,0.01,zeros,0.9,0.07056720968419983,0.8774477508207891,0.0,90.0
13,lasso,sto,0.001,xavier,0.0,0.0706705682071606,0.8772814530324362,0.0,98.0
14,lasso,sto,0.0001,xavier,0.9,0.070711344576953,0.8772113693093722,0.0,100.0
15,lasso,sto,0.0001,zeros,0.9,0.07101902757395646,0.876725937737113,0.0,100.0
16,lasso,sto,0.001,zeros,0.0,0.07104581640051666,0.8766746350743982,0.0,100.0
17,lasso,mini,0.01,zeros,0.9,0.07106822457333521,0.8765687480444324,0.0,81.6
18,lasso,mini,0.01,xavier,0.9,0.07107496175517776,0.8765764616455716,0.0,100.0
19,normal,sto,0.001,xavier,0.9,0.0717158421387415,0.8755968611530405,0.0,100.0
20,normal,sto,0.01,xavier,0.0,0.072999901074234,0.8734377159464464,0.0,100.0
21,ridge,sto,0.001,xavier,0.0,0.07356776219927999,0.8722924884335091,0.0,100.0
22,ridge,sto,0.0001,xavier,0.9,0.0736307955241198,0.8721802285456317,0.0,100.0
23,ridge,mini,0.01,xavier,0.9,0.07395300401957478,0.8716034361825387,0.0,100.0
24,lasso,sto,0.001,xavier,0.9,0.07395967384535165,0.8717620518903247,0.0,100.0
25,ridge,sto,0.0001,zeros,0.9,0.07401051654773563,0.8715891076834019,0.0,100.0
